<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.09	16:00:00	22.519	22.607	22.421	22.583	5504	0	12
2024.02.09	17:00:00	22.583	22.637	22.356	22.386	3752	0	9
2024.02.09	18:00:00	22.388	22.441	22.352	22.425	2559	0	8
2024.02.09	19:00:00	22.425	22.532	22.421	22.527	1695	0	8
2024.02.09	20:00:00	22.526	22.553	22.495	22.529	1465	0	8
2024.02.09	21:00:00	22.527	22.586	22.525	22.555	1015	0	8
2024.02.09	22:00:00	22.556	22.612	22.545	22.600	985	0	8
2024.02.09	23:00:00	22.593	22.617	22.580	22.591	528	0	11
2024.02.12	01:00:00	22.621	22.655	22.599	22.645	551	0	18
2024.02.12	02:00:00	22.645	22.672	22.641	22.664	605	0	18
2024.02.12	03:00:00	22.670	22.686	22.649	22.664	623	0	18
2024.02.12	04:00:00	22.671	22.679	22.632	22.654	570	0	18
2024.02.12	05:00:00	22.649	22.692	22.649	22.685	537	0	18
2024.02.12	06:00:00	22.692	22.721	22.681	22.696	427	0	18
2024.02.12	07:00:00	22.697	22.776	22.689	22.775	575	0	18
2024.02.12	08:00:00	22.772	22.808	22.768	22.797	620	0	18
2024.02.12	09:00:00	22.798	22.940	22.797	22.920	1477	0	8
2024.02.12	10:00:00	22.919	22.921	22.844	22.846	2005	0	7
2024.02.12	11:00:00	22.846	22.873	22.837	22.859	1257	0	8
2024.02.12	12:00:00	22.863	22.903	22.843	22.900	1203	0	8
2024.02.12	13:00:00	22.901	22.930	22.886	22.920	1336	0	5
2024.02.12	14:00:00	22.920	22.966	22.904	22.955	1470	0	8
2024.02.12	15:00:00	22.956	23.066	22.772	22.783	4306	0	10
2024.02.12	16:00:00	22.782	22.797	22.508	22.629	4905	0	8
2024.02.12	17:00:00	22.628	22.766	22.623	22.670	3753	0	9
2024.02.12	18:00:00	22.671	22.676	22.566	22.595	2894	0	8
2024.02.12	19:00:00	22.595	22.701	22.576	22.675	2137	0	8
2024.02.12	20:00:00	22.675	22.740	22.652	22.732	1771	0	8
2024.02.12	21:00:00	22.732	22.741	22.667	22.677	1321	0	8
2024.02.12	22:00:00	22.677	22.701	22.674	22.687	886	0	8
2024.02.12	23:00:00	22.678	22.693	22.662	22.674	422	0	11
2024.02.13	01:00:00	22.670	22.678	22.661	22.672	312	0	18
2024.02.13	02:00:00	22.672	22.718	22.669	22.716	517	0	18
2024.02.13	03:00:00	22.713	22.728	22.687	22.711	584	0	18
2024.02.13	04:00:00	22.712	22.717	22.693	22.705	643	0	18
2024.02.13	05:00:00	22.711	22.717	22.650	22.688	682	0	18
2024.02.13	06:00:00	22.685	22.723	22.681	22.700	549	0	18
2024.02.13	07:00:00	22.705	22.748	22.700	22.741	590	0	18
2024.02.13	08:00:00	22.742	22.789	22.734	22.780	642	0	18
2024.02.13	09:00:00	22.780	22.843	22.780	22.839	1762	0	8
2024.02.13	10:00:00	22.839	22.882	22.835	22.875	1887	0	8
2024.02.13	11:00:00	22.879	22.925	22.853	22.918	1472	0	8
2024.02.13	12:00:00	22.919	22.932	22.888	22.894	1255	0	8
2024.02.13	13:00:00	22.894	22.920	22.856	22.861	1091	0	8
2024.02.13	14:00:00	22.863	22.888	22.832	22.836	1434	0	8
2024.02.13	15:00:00	22.839	22.950	22.421	22.471	6980	0	8
2024.02.13	16:00:00	22.473	22.473	22.049	22.103	7851	0	19
2024.02.13	17:00:00	22.103	22.212	21.999	22.021	6403	0	9
2024.02.13	18:00:00	22.022	22.212	22.008	22.097	4022	0	8
2024.02.13	19:00:00	22.099	22.159	22.071	22.086	2275	0	8
2024.02.13	20:00:00	22.085	22.130	22.036	22.049	1802	0	8
2024.02.13	21:00:00	22.048	22.055	21.977	21.999	1422	0	8
2024.02.13	22:00:00	21.998	22.071	21.996	22.059	1345	0	7
2024.02.13	23:00:00	22.050	22.107	22.039	22.089	646	0	11
2024.02.14	01:00:00	22.070	22.098	22.049	22.064	543	0	17
2024.02.14	02:00:00	22.071	22.074	22.037	22.055	700	0	18
2024.02.14	03:00:00	22.056	22.059	21.964	22.054	1142	0	17
2024.02.14	04:00:00	22.058	22.065	22.001	22.024	859	0	18
2024.02.14	05:00:00	22.024	22.036	21.989	22.012	659	0	18
2024.02.14	06:00:00	22.011	22.036	22.005	22.024	658	0	18
2024.02.14	07:00:00	22.029	22.040	22.008	22.020	737	0	18
2024.02.14	08:00:00	22.025	22.029	21.967	22.004	833	0	18
2024.02.14	09:00:00	22.004	22.011	21.959	21.968	2337	0	8
2024.02.14	10:00:00	21.967	22.028	21.926	21.997	2436	0	8
2024.02.14	11:00:00	21.998	22.035	21.987	22.018	1556	0	8
2024.02.14	12:00:00	22.019	22.054	21.983	22.046	1489	0	8
2024.02.14	13:00:00	22.046	22.060	22.009	22.037	1572	0	8
2024.02.14	14:00:00	22.039	22.072	22.010	22.015	1512	0	8
2024.02.14	15:00:00	22.016	22.200	22.006	22.079	4188	0	8
2024.02.14	16:00:00	22.080	22.197	22.076	22.125	5125	0	19
2024.02.14	17:00:00	22.127	22.287	22.078	22.263	4263	0	8
2024.02.14	18:00:00	22.263	22.450	22.251	22.387	4158	0	19
2024.02.14	19:00:00	22.387	22.417	22.341	22.382	2358	0	8
2024.02.14	20:00:00	22.383	22.417	22.316	22.351	2022	0	8
2024.02.14	21:00:00	22.350	22.355	22.313	22.346	1188	0	8
2024.02.14	22:00:00	22.352	22.352	22.314	22.334	960	0	8
2024.02.14	23:00:00	22.324	22.369	22.310	22.351	560	0	11
2024.02.15	01:00:00	22.365	22.374	22.351	22.360	409	0	18
2024.02.15	02:00:00	22.362	22.392	22.338	22.381	645	0	18
2024.02.15	03:00:00	22.376	22.401	22.336	22.353	838	0	18
2024.02.15	04:00:00	22.353	22.429	22.347	22.428	681	0	18
2024.02.15	05:00:00	22.429	22.476	22.377	22.383	782	0	16
2024.02.15	06:00:00	22.379	22.405	22.366	22.403	511	0	18
2024.02.15	07:00:00	22.408	22.436	22.396	22.418	575	0	18
