DATETIME,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,RSI
2022-05-18 20:00:00,21.592,21.6,21.428,21.469,1255,0,3,43.90388174237083
2022-05-18 21:00:00,21.466,21.471,21.392,21.408,924,0,9,40.92587865692228
2022-05-18 22:00:00,21.408,21.491,21.367,21.383,899,0,2,39.73626983372062
2022-05-18 23:00:00,21.38,21.399,21.367,21.394,271,0,13,40.555033590865875
2022-05-19 01:00:00,21.411,21.431,21.405,21.418,235,0,11,42.39399903141391
2022-05-19 02:00:00,21.418,21.418,21.279,21.326,379,0,6,37.59304786635816
2022-05-19 03:00:00,21.326,21.384,21.293,21.358,749,0,7,40.13261683926054
2022-05-19 04:00:00,21.353,21.434,21.352,21.411,932,0,16,44.183939168046926
2022-05-19 05:00:00,21.411,21.447,21.387,21.432,677,0,20,45.75044077509982
2022-05-19 06:00:00,21.432,21.488,21.428,21.465,809,0,8,48.21021419807964
2022-05-19 07:00:00,21.465,21.49,21.408,21.439,519,0,9,46.42419008444215
2022-05-19 08:00:00,21.439,21.443,21.365,21.38,849,0,12,42.57014546500598
2022-05-19 09:00:00,21.382,21.429,21.36,21.406,951,0,8,44.74702351703896
2022-05-19 10:00:00,21.403,21.438,21.318,21.394,2254,0,3,43.91956356869049
2022-05-19 11:00:00,21.395,21.492,21.275,21.46,2877,0,3,49.455649499492374
2022-05-19 12:00:00,21.46,21.537,21.422,21.537,2697,0,8,55.03287303505383
2022-05-19 13:00:00,21.537,21.569,21.437,21.556,2048,0,7,56.313836941329086
2022-05-19 14:00:00,21.558,21.803,21.558,21.717,1981,0,2,65.3272125249061
2022-05-19 15:00:00,21.717,21.837,21.639,21.75,1497,0,1,66.83751315572546
2022-05-19 16:00:00,21.75,21.959,21.724,21.861,2081,0,7,71.3569797305715
2022-05-19 17:00:00,21.861,21.987,21.807,21.889,2648,0,5,72.37954412443761
2022-05-19 18:00:00,21.888,21.929,21.807,21.863,2117,0,1,69.88464151233804
2022-05-19 19:00:00,21.864,21.892,21.798,21.884,1508,0,8,70.76129216423831
2022-05-19 20:00:00,21.886,21.953,21.834,21.945,1593,0,7,73.20158968572721
2022-05-19 21:00:00,21.946,21.962,21.904,21.939,1200,0,3,72.56010161556469
2022-05-19 22:00:00,21.938,21.96,21.891,21.957,892,0,3,73.31559646747696
2022-05-19 23:00:00,21.955,21.955,21.904,21.906,348,0,14,67.6336855684281
2022-05-20 01:00:00,21.935,21.939,21.9,21.904,195,0,8,67.41304442956643
2022-05-20 02:00:00,21.905,21.919,21.889,21.892,324,0,17,66.02135037121673
2022-05-20 03:00:00,21.892,21.909,21.852,21.87,581,0,13,63.43575784846234
2022-05-20 04:00:00,21.872,21.887,21.827,21.828,951,0,19,58.70871491007672
2022-05-20 05:00:00,21.827,21.86,21.797,21.835,594,0,14,59.25369059550491
2022-05-20 06:00:00,21.835,21.87,21.829,21.855,542,0,18,60.843831307034925
2022-05-20 07:00:00,21.858,21.938,21.85,21.923,477,0,16,65.73942657223245
2022-05-20 08:00:00,21.923,22.033,21.885,22.002,1281,0,9,70.37373634970956
2022-05-20 09:00:00,22.002,22.047,21.972,22.046,1263,0,8,72.59703714606273
2022-05-20 10:00:00,22.042,22.067,21.914,21.948,1468,0,10,61.52276334898168
2022-05-20 11:00:00,21.947,22.015,21.907,22.008,1246,0,14,65.03908804566605
2022-05-20 12:00:00,22.008,22.054,21.982,22.048,1389,0,11,67.19168372271344
2022-05-20 13:00:00,22.049,22.072,21.974,22.02,1188,0,10,64.21128875777895
2022-05-20 14:00:00,22.011,22.026,21.926,21.926,1427,0,11,55.33709055610429
2022-05-20 15:00:00,21.926,21.991,21.77,21.796,1619,0,10,45.89112019220836
2022-05-20 16:00:00,21.799,21.891,21.744,21.744,2176,0,7,42.7477994727791
2022-05-20 17:00:00,21.742,21.782,21.66,21.708,2048,0,1,40.6708445645952
2022-05-20 18:00:00,21.708,21.782,21.698,21.744,1559,0,4,43.620809305680766
2022-05-20 19:00:00,21.741,21.753,21.601,21.693,1357,0,2,40.54513879135594
2022-05-20 20:00:00,21.692,21.722,21.649,21.697,1409,0,1,40.89712785908465
2022-05-20 21:00:00,21.702,21.707,21.611,21.678,1035,0,5,39.69498591437359
2022-05-20 22:00:00,21.679,21.758,21.637,21.753,896,0,3,46.39342137092113
2022-05-20 23:00:00,21.749,21.756,21.739,21.753,334,0,17,46.39342137092113
2022-05-23 01:00:00,21.819,21.835,21.761,21.815,447,0,17,51.55270367639548
2022-05-23 02:00:00,21.815,21.852,21.78,21.792,430,0,23,49.64391412936674
2022-05-23 03:00:00,21.792,21.934,21.783,21.914,737,0,11,58.43514272255121
2022-05-23 04:00:00,21.914,21.923,21.816,21.821,1331,0,15,51.11007082936395
2022-05-23 05:00:00,21.821,21.911,21.816,21.861,798,0,9,53.79298875400741
2022-05-23 06:00:00,21.861,21.901,21.843,21.882,500,0,13,55.18348570528886
2022-05-23 07:00:00,21.883,21.892,21.858,21.868,525,0,13,54.01645662309026
2022-05-23 08:00:00,21.867,22.021,21.863,21.966,907,0,3,60.33934047952037
2022-05-23 09:00:00,21.966,21.968,21.911,21.934,1002,0,10,57.55633239103053
2022-05-23 10:00:00,21.934,21.984,21.897,21.97,1691,0,8,59.802539182390234
2022-05-23 11:00:00,21.968,22.146,21.968,22.1,1480,0,0,66.66346630712982
2022-05-23 12:00:00,22.1,22.163,22.096,22.144,1158,0,12,68.61594900559626
2022-05-23 13:00:00,22.144,22.178,22.093,22.118,1408,0,13,66.15044956232617
2022-05-23 14:00:00,22.121,22.176,22.09,22.103,837,0,11,64.70591996326172
2022-05-23 15:00:00,22.103,22.187,21.979,21.996,1246,0,7,55.410611797446506
2022-05-23 16:00:00,21.996,21.998,21.826,21.879,1804,0,5,47.393383375928586
